epoch,accuracy,loss,val_accuracy,val_loss
0,0.2631579041481018,1.3960905075073242,0.6000000238418579,0.7329155802726746
1,0.5263158082962036,0.8868147134780884,0.800000011920929,0.5747241973876953
2,0.7368420958518982,0.5394099354743958,0.6000000238418579,0.5612920522689819
3,0.5789473652839661,0.6675420999526978,0.6000000238418579,0.5848039984703064
4,0.8421052694320679,0.4208836853504181,0.6000000238418579,0.3914400041103363
5,0.9473684430122375,0.1940125674009323,1.0,0.36534783244132996
6,0.9473684430122375,0.23606950044631958,1.0,0.2734363377094269
7,1.0,0.15642553567886353,1.0,0.20595987141132355
8,1.0,0.09647569060325623,1.0,0.16638994216918945
9,1.0,0.0864381492137909,1.0,0.14350977540016174
10,1.0,0.06465095281600952,1.0,0.12925752997398376
11,1.0,0.05092133581638336,1.0,0.11246456205844879
12,1.0,0.043385326862335205,1.0,0.09178828448057175
13,1.0,0.030454134568572044,1.0,0.07712175697088242
14,1.0,0.022571351379156113,1.0,0.06741942465305328
15,1.0,0.020870544016361237,1.0,0.05785033106803894
16,1.0,0.03304729983210564,1.0,0.04634301736950874
17,1.0,0.013578632846474648,1.0,0.03911886736750603
18,1.0,0.012384873814880848,1.0,0.03251058980822563
19,1.0,0.012350947596132755,1.0,0.026922155171632767
20,1.0,0.01959131844341755,1.0,0.022180821746587753
21,1.0,0.014703803695738316,1.0,0.019505102187395096
22,1.0,0.012789936736226082,1.0,0.018778903409838676
23,1.0,0.010406852699816227,1.0,0.018259933218359947
24,1.0,0.0071485284715890884,1.0,0.01849815621972084
25,1.0,0.004737441893666983,1.0,0.019233494997024536
26,1.0,0.004179938230663538,1.0,0.020022088661789894
27,1.0,0.006245344877243042,1.0,0.01987321302294731
28,1.0,0.003062924835830927,1.0,0.019492309540510178
29,1.0,0.0020957314409315586,1.0,0.018858643248677254
